spam,text,message_length,word_count
0,"Allez jusqu'à Jurong point, fou.. Disponible seulement dans bugis n grand monde la e buffet... Cine il y a eu plus...",117,21
0,J'ai fait une blague sur le wif u oni...,40,9
1,Entrée libre dans 2 a wkly comp pour gagner FA Cup final tkts 21 mai 2005. Texte FA à 87121 pour recevoir la question d'entrée(std txt rate)T&C's appliquer 08452810075over18's,175,29
0,U dun dit si tôt hor... U c déjà dire alors...,46,11
0,"Non, je ne pense pas qu'il va à usf, il vit dans le coin.",57,14
1,"FreeMsg Hey il ya ma chérie il a été 3 semaines maintenant et aucun mot de retour! J'aimerais que vous vous amusez encore pour elle? Tb ok! XxX std chgs à envoyer, £1,50 à rcv",175,35
0,"Même mon frère n'aime pas me parler, ils me traitent comme un brevet d'aide.",76,14
0,"Conformément à votre demande, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune",189,28
1,"WINNER!! En tant que client de réseau apprécié, vous avez été sélectionné pour recevoir une récompense de £900! Pour réclamer un appel 09061701461. Code de réclamation KL341. Valable 12 heures seulement.",203,31
1,Avez-vous eu votre mobile 11 mois ou plus? U R a droit à mettre à jour les derniers mobiles couleur avec caméra gratuitement! Appelez The Mobile Update Co GRATUIT au 08002986030,177,31
0,"Je vais bientôt rentrer et je ne veux plus parler de ça ce soir, j'ai assez pleuré aujourd'hui.",95,18
1,"SIX chances de gagner CASH! De 100 à 20 000 livres txt> CSH11 et envoyer à 87575. Coût 150p/jour, 6jours, 16+ TsandCs appliquer Répondre HL 4 info",146,27
1,URGENT! Vous avez gagné 1 semaine d'adhésion GRATUITE à notre prix Jackpot £ 100 000! Txt le mot: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,162,27
0,J'ai cherché les bons mots pour vous remercier pour ce respirateur. Je promets que je ne tiendrai pas votre aide pour acquise et réaliserai ma promesse. Vous avez été merveilleux et une bénédiction en tout temps.,212,36
0,J'ai un rendez-vous le dimanche avec Will!!,43,7
1,"XXXMobileMovieClub: Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain message txt ou cliquez ici> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",167,20
0,Oh k... je regarde ici :),25,6
0,Souvenez-vous comment 2 épeler son nom... oui je l'ai fait. Il v vilain faire jusqu'à ce que je v mouillé.,106,20
0,Très bien si c'est comme ça que tu ressens. C'est comme ça que c'est son geta b,79,17
1,"Angleterre v Macédoine - ne manquez pas les buts/nouvelles de l'équipe. Txt ur équipe nationale à 87077 par exemple ENGLAND à 87077 Essayez:WALES, SCOTLAND 4txt/ú1.20 POBOX36504W45WQ 16+",186,27
0,C'est vraiment comme ça que vous épellez son nom?,49,9
0,Je vais essayer pendant 2 mois ha ha seulement plaisanter,57,10
0,Alors ü paie d'abord... puis quand est da stock comin...,56,10
0,J'ai fini mon déjeuner puis j'ai décroché lor. Ard 3 smth lor. U fini le déjeuner ur déjà?,90,18
0,Je ne peux pas te rencontrer plus tôt?,38,8
0,"Je n'ai pas faim, ça craint, Mark s'inquiète, il sait que je suis malade quand je refuse la pizza.",98,19
0,Allongez votre toujours si convaincant.,39,5
0,Tu as pris le bus? Tu fais frire un œuf? Tu as fait un thé? Tu manges le reste de ta mère après le dîner? Tu sens mon amour?,124,29
0,"Je suis de retour &amp; nous sommes en train d'emballer la voiture maintenant, je vous ferai savoir s'il y a de la place",120,23
0,Je m'en souviens vaguement! Qu'est-ce que ça fait?,50,8
0,"Attends que ce n'est pas tout à fait clair, n'étais-tu pas sûr que je sois sarcastique ou que c'est pourquoi x ne veut pas vivre avec nous",138,27
0,Oui il est entré à 2 ans et était v apologétique. n était tombé dehors et elle était actin comme enfant gâté et il a été pris dans cela. Jusqu'à 2 ans! Mais nous n'allons pas là-bas!,182,37
0,Je n'ai rien à vous dire.,25,6
0,De peur de s'évanouir avec toutes ces tâches ménagères que tu viens de faire?,77,14
1,Merci pour votre abonnement à Ringtone UK votre mobile sera facturé £5/mois Veuillez confirmer en répondant OUI ou NON. Si vous répondez NON vous ne serez pas facturé,166,28
0,Ouais... Ok je rentre à la maison regarder les timings puis i msg ü encore... Xuhui va apprendre le 2e mai aussi mais sa leçon est à 8h,135,28
0,"Oups, je te préviendrai quand ma colocataire aura fini.",55,9
0,Je vois la lettre B sur ma voiture.,35,8
0,Tout ce que le lor... U décidera...,35,7
0,Bonjour! Comment allez-vous et comment ça s'est passé samedi? Je textais juste pour voir si vous aviez décidé de faire n'importe quoi tomo. Pas que j'essaie de m'inviter ou quoi que ce soit!,190,33
0,Pls va de l'avant avec watts. Je voulais juste être sûr.,56,11
0,"Est-ce que j'ai oublié de te le dire? Je te veux, j'ai besoin de toi, je t'ai envie... Mais surtout... Je t'aime ma douce arabo... Mmmmm... Miammy",146,27
1,07732584351 - Rodger Burns - MSG = Nous avons essayé de vous appeler re votre réponse à nos sms pour un mobile nokia gratuit + caméscope gratuit. Veuillez appeler au 08000930705 pour la livraison demain,202,35
0,Qui vois-tu?,12,2
0,Super! J'espère que vous aimez votre homme bien doué. Je suis &lt;#&gt; pouces...,81,13
0,Pas d'appels..messages..appels manqués,38,3
0,Vous n'avez pas reçu d'immunisation de l'hépatite B en nigère.,62,10
0,"C'est juste, il se passe quelque chose?",39,7
0,"Oui, j'espère, si Tyler ne peut pas le faire, je pourrais peut-être demander un peu.",84,15
0,Je ne voulais même pas aller à l'hôpital.,41,8
0,La première fois que tu m'as vu en cours.,41,9
0,"Un gramme fonctionne habituellement comme &lt;#&gt;, un demi-huitième est plus intelligent cependant et vous obtient presque un second gramme entier pour &lt;#&gt;",163,22
0,K fyi x a un tour tôt demain matin mais il s'écrase chez nous ce soir,69,16
0,"Je n'ai jamais réalisé que tu étais si embarrassée par tes logements. Je pensais que tu l'aimais, puisque je faisais de mon mieux et que tu avais toujours l'air si content de ""la grotte"". Je suis désolé de ne pas avoir eu plus à donner. Je suis désolé d'avoir offert. Je suis désolé que ta chambre ait été si embarrassante.",323,60
1,SMS. ac Sptv: Les Devils du New Jersey et les Red Wings de Detroit jouent au hockey sur glace. Correct ou incorrect? Fin? Réponse END SPTV,138,26
0,Savez-vous ce que Mallika Sherawat a fait hier? Découvrez maintenant @ &lt;URL&gt;,82,12
1,"Félicitations! 1 an de laissez-passer spécial cinéma pour 2 est à vous. appelez le 09061209465 maintenant! C Suprman V, Matrix3, StarWars3, etc tous les 4 GRATUIT! bx420-ip4-5we. 150pm. Ne manquez pas!",201,31
0,"Désolé, j'appellerai plus tard à la réunion.",44,7
0,Dites où vous êtes arrivé.,26,5
0,Oui..gauti et sehwag en série d'odi.,36,6
0,"Tu vas devoir prendre un hamburger pour toi-même en rentrant, je ne peux même pas bouger, la douleur me tue.",108,20
0,Les filles cherchent la situation.,34,5
0,C'est une partie du contrôle du QI,34,7
0,"Désolé que mes colocataires aient pris une éternité, ça va si je viens maintenant?",82,14
0,Ok lar je double vérifier wif da coiffeur déjà il a dit wun couper v court. Il a dit couper jusqu'à ce que je sois belle.,121,26
1,"En tant que client apprécié, je suis heureux de vous informer qu'à la suite d'un récent examen de votre Mob No. vous êtes récompensé avec un Prix Bonus £1500, appelez 09066364589",178,31
0,"Aujourd'hui c'est ""jour de chant dédié... Quelle chanson va-t-on me dédier? Envoyez ceci à tous les frnds précieux mais tout d'abord rply moi...",144,23
1,"Urgent UR a accordé un voyage gratuit à EuroDisinc Trav, Aco&Entry41 ou £1000. Pour réclamer txt DIS à 87121 18+6*£1.50(plusFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,23
1,"Avez-vous entendu parler de la nouvelle ""Divorce Barbie""? Il vient avec tous les trucs de Ken!",94,16
0,J'ai pris l'avion pour donner ce mois-ci.,41,7
0,L'homme chanceux... peut alors économiser de l'argent...,56,7
0,J'ai fini la classe où tu es.,29,7
0,"Bonjour, je veux faire quelque chose à la maison? XX",52,10
0,K.k:)Où êtes-vous?Comment avez-vous joué?,41,4
0,U peut m'appeler maintenant...,30,4
0,Appelez-moi une fois libre.,27,4
0,C'est cool. Je suis un gentleman et je vous traiterai avec dignité et respect.,78,14
0,Je vous aime beaucoup les peuples:) mais je suis très timide papa.,66,12
0,Ne fonctionne pas après &lt;#&gt; ou quoi,41,7
0,"Ce n'est pas la même chose ici, toujours à la recherche d'un emploi, combien Ta gagne là-bas.",93,17
0,"Désolé, je t'appelle plus tard.",31,5
0,K. Est-ce que tu m'as appelé tout à l'heure?,44,9
0,Ok je suis sur le chemin de la maison bonjour,45,10
0,Tu seras à la place de cet homme.,33,8
0,"Oui, prochain arrêt.",20,3
0,"Je t'appelle plus tard, n'ai pas de réseau.",43,8
0,Je n'ai besoin que de 2 billets et d'une veste de plus et j'ai fini. J'ai déjà utilisé tous mes multis.,103,21
0,"Oui, j'ai commencé à envoyer des demandes pour le faire mais la douleur est revenue alors je suis de retour au lit. Double pièces à l'usine aussi.",146,27
0,Je n'en suis pas encore là ce soir.,35,8
0,"Ela kano.,il téléchargement, venez wen ur gratuitement..",56,7
0,"Ne te tiens pas pour fermer, tu vas attraper quelque chose!",59,11
0,Désolé d'être une douleur. Est-ce que c'est ok si nous rencontrons une autre nuit? J'ai passé la fin de l'après-midi dans la victime et cela signifie que je n'ai pas fait de trucs y42moro et cela inclut tous mes draps de temps et ça. Désolé.,241,45
0,Smile in Pleasure Smile in Pain Smile when trouble like Rain Smile when sum1 Hurts U Smile becoz SOMEONE aime toujours voir u Smileing!!,136,24
1,S'il vous plaît appeler notre représentant du service à la clientèle au 0800 169 6031 entre 10h et 21h puisque vous avez WON un montant garanti de £1000 cash ou £5000 prix!,172,32
0,Je vérifie déjà que lido n'a obtenu 530 spectacle dans l'après-midi. U terminer le travail déjà?,96,16
1,"Votre sonnerie gratuite est en attente d'être collectée. Il suffit de texte le mot de passe ""MIX"" à 85069 à vérifier. Obtenez Usher et Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",181,33
0,Regarder un telugu film..wat abt u?,35,6
0,"Quand nous aurons fini, nous aurons beaucoup de prêts à payer.",62,11
0,"Bonjour. Wk a été ok - sur Hols maintenant! Oui sur un peu de course. J'ai oublié que j'ai rendez-vous des coiffeurs à quatre, donc besoin de rentrer à la maison n douche à l'avance. Est-ce que cela cause problème pour u?""",222,42
0,Je vois une tasse d'animation de café,37,7
0,"Ne m'envoie plus de SMS, je n'ai rien d'autre à dire.",53,11
0,Ok nom ur prix aussi longtemps que son légal! Wen puis-je les ramasser? Y u ave x ams xx,88,19
0,Je cherche toujours une voiture à acheter et je n'ai pas encore passé le 4e test de conduite.,93,18
0,"Je suppose qu'une fois que j'ai abandonné les hommes de Boston et que j'ai changé mon emplacement de recherche en nyc, quelque chose a changé.",142,25
0,Umma ma vie et Vava Umma vous aiment beaucoup,45,9
0,Merci beaucoup pour vos souhaits pour mon anniversaire. Merci de rendre mon anniversaire vraiment mémorable.,108,15
0,Je te frapperai quand j'aurai de l'argent.,42,7
0,Comment mon adresse ip testerait que vu que mon ordinateur n'est pas un serveur de minecraft,92,16
0,"Je sais, les vieux grincheux, ma mère était comme toi, mieux vaut ne pas mentir.",80,15
0,"Ne t'inquiète pas, je suppose qu'il est occupé.",47,8
0,Quel est le pluriel de la recherche nominative?,47,8
0,"Je vais dîner, après.",21,4
0,"Je vais bien parce que j'aime 2 essayer de nouvelles choses, mais j'ai peur que tu dînes comme mah.",99,19
1,GENT! Nous essayons de vous contacter. Le tirage du week-end dernier montre que vous avez gagné un prix de £1000 GARANTIE. Appelez 09064012160. Code de réclamation K52. Valable 12hs seulement. 150ppm,199,31
0,"Wa, ur openin phrase très formelle... bref, je vais bien aussi, j'ai trop mangé de n puttin sur le poids... Haha... donc tout ce qui est spécial est arrivé?",156,29
0,"Comme je suis entré dans ma cabine, mon PA a dit, '' Happy B'day Boss!!''. Je me sentais spécial. Elle m'a demandé 4 déjeuner. Après le déjeuner, elle m'a invité à son appartement. Nous y sommes allés.",201,37
1,Vous êtes un gagnant U ont été spécialement sélectionnés 2 recevoir £1000 ou un 4* vacances (vols inc) parler à un opérateur en direct 2 réclamation 0871277810910p/min (18+),173,28
0,"Oui, nous devons parler vendredi - rapport oeuf-potato pour la tortilla nécessaire!",83,12
